MaterialKey,Rate,Wastage
MDF_18_OSL_OWHITE,65,10
MDF_18_BSL_OWHITE,70,10
MDF_18_BSL_BLACK,70,10
MDF_25_BSL_DUCO,95,10
PRELAM_18_BSL_PINE_OAK,70,10
LAMINATE_LIGHT_BLUE,47,15
LAMINATE_CHERRY_WALNUT,47,10
LAMINATE_DENIM_SPLASH,47,10
LAMINATE_PINE_OAK,47,10
DUCO_PAINT,200,15
PVC_EDGE_BAND_25MM,7,0
ALUMINIUM_CHANNEL_PROFILE,115,0
BACKCLIPS,40,0
MS_PIPE_15X30_2MM,110,0
MS_PIPE_25X25,110,15
AL_PIPE_50X50,50,15
MS_SHELF_BRACKET,105,0
POWDER_COATING_COST,1,0
ACRYLIC_SIGNAGE_SQFT,3650,0
ALUMINIUM_LED_PROFILE,30,0
LED_STRIP_4000K,25,0
WIRE_1MM,18,0
WIRE_1_5MM,25,0
LED_DRIVER,1500,0